Ticker	Date	Price	Model	Actual	Forecast
IBM	2016-04-07	close	ARIMA	 148.25	 150.04
IBM	2016-04-07	close	KNN	 148.25	 132.12
IBM	2016-04-07	close	SAX	 148.25	 128.71
IBM	2016-04-07	close	LSTM	 148.25	 163.49
IBM	2016-07-12	close	MA	 157.04	 153.29
IBM	2016-07-12	close	EWMA	 157.04	 156.72
IBM	2016-07-12	close	ARIMA	 157.04	 155.08
IBM	2016-07-12	close	KNN	 157.04	 149.78
IBM	2016-07-12	close	SAX	 157.04	 151.97
IBM	2016-07-12	close	LSTM	 157.04	 149.73
IBM	2016-10-13	close	MA	 153.72	 155.73
IBM	2016-10-13	close	EWMA	 153.72	 155.98
IBM	2016-10-13	close	ARIMA	 153.72	 154.17
IBM	2016-10-13	close	KNN	 153.72	 159.42
IBM	2016-10-13	close	SAX	 153.72	 158.98
IBM	2016-10-13	close	LSTM	 153.72	 161.07
IBM	2017-01-19	close	MA	 166.81	 167.55
IBM	2017-01-19	close	EWMA	 166.81	 168.72
IBM	2017-01-19	close	ARIMA	 166.81	 166.66
IBM	2017-01-19	close	KNN	 166.81	 162.77
IBM	2017-01-19	close	SAX	 166.81	 166.62
IBM	2017-01-19	close	LSTM	 166.81	 169.82
IBM	2017-04-26	close	MA	 160.06	 161.10
IBM	2017-04-26	close	EWMA	 160.06	 160.42
IBM	2017-04-26	close	ARIMA	 160.06	 160.38
IBM	2017-04-26	close	KNN	 160.06	 180.47
IBM	2017-04-26	close	SAX	 160.06	 177.77
IBM	2017-04-26	close	LSTM	 160.06	 161.27
IBM	2017-07-31	close	MA	 144.67	 145.38
IBM	2017-07-31	close	EWMA	 144.67	 146.12
IBM	2017-07-31	close	ARIMA	 144.67	 144.44
IBM	2017-07-31	close	KNN	 144.67	 152.62
IBM	2017-07-31	close	SAX	 144.67	 151.89
IBM	2017-07-31	close	LSTM	 144.67	 149.40
IBM	2017-11-01	close	MA	 154.03	 153.84
IBM	2017-11-01	close	EWMA	 154.03	 155.43
IBM	2017-11-01	close	ARIMA	 154.03	 154.09
IBM	2017-11-01	close	KNN	 154.03	 144.73
IBM	2017-11-01	close	SAX	 154.03	 149.59
IBM	2017-11-01	close	LSTM	 154.03	 159.02
HPQ	2013-05-15	close	MA	  -1.00	   0.00
HPQ	2013-05-15	close	EWMA	  -1.00	   0.00
HPQ	2013-05-15	close	ARIMA	  -1.00	   0.00
HPQ	2013-05-15	close	KNN	  -1.00	   0.00
HPQ	2013-05-15	close	SAX	  -1.00	   0.00
HPQ	2013-05-15	close	LSTM	  -1.00	   0.00
HPQ	2013-08-19	close	MA	  -1.00	   0.00
HPQ	2013-08-19	close	EWMA	  -1.00	   0.00
HPQ	2013-08-19	close	ARIMA	  -1.00	   0.00
HPQ	2013-08-19	close	KNN	  -1.00	   0.00
HPQ	2013-08-19	close	SAX	  -1.00	   0.00
HPQ	2013-08-19	close	LSTM	  -1.00	   0.00
HPQ	2013-11-20	close	MA	  -1.00	   0.00
HPQ	2013-11-20	close	EWMA	  -1.00	   0.00
HPQ	2013-11-20	close	ARIMA	  -1.00	   0.00
HPQ	2013-11-20	close	KNN	  -1.00	   0.00
HPQ	2013-11-20	close	SAX	  -1.00	   0.00
HPQ	2013-11-20	close	LSTM	  -1.00	   0.00
HPQ	2014-02-28	close	MA	  -1.00	   0.00
HPQ	2014-02-28	close	EWMA	  -1.00	   0.00
HPQ	2014-02-28	close	ARIMA	  -1.00	   0.00
HPQ	2014-02-28	close	KNN	  -1.00	   0.00
HPQ	2014-02-28	close	SAX	  -1.00	   0.00
HPQ	2014-02-28	close	LSTM	  -1.00	   0.00
HPQ	2014-06-04	close	MA	  -1.00	   0.00
HPQ	2014-06-04	close	EWMA	  -1.00	   0.00
HPQ	2014-06-04	close	ARIMA	  -1.00	   0.00
HPQ	2014-06-04	close	KNN	  -1.00	   0.00
HPQ	2014-06-04	close	SAX	  -1.00	   0.00
HPQ	2014-06-04	close	LSTM	  -1.00	   0.00
HPQ	2014-09-08	close	MA	  -1.00	   0.00
HPQ	2014-09-08	close	EWMA	  -1.00	   0.00
HPQ	2014-09-08	close	ARIMA	  -1.00	   0.00
HPQ	2014-09-08	close	KNN	  -1.00	   0.00
HPQ	2014-09-08	close	SAX	  -1.00	   0.00
HPQ	2014-09-08	close	LSTM	  -1.00	   0.00
HPQ	2014-12-10	close	MA	  -1.00	   0.00
HPQ	2014-12-10	close	EWMA	  -1.00	   0.00
HPQ	2014-12-10	close	ARIMA	  -1.00	   0.00
HPQ	2014-12-10	close	KNN	  -1.00	   0.00
HPQ	2014-12-10	close	SAX	  -1.00	   0.00
HPQ	2014-12-10	close	LSTM	  -1.00	   0.00
